agz	pitch	roll	yaw	vgx	vgy	vgz	templ	temph	tof	h	bat	baro	time	agx	agy	timestamp
1	0	-8	-4	0	0	65	67	227	220	9	974.41	61	58	45	-1003	1634988057.35083
1	0	-8	-3	0	0	65	67	221	220	9	974.37	61	57	24	-997	1634988057.45193
7	-1	-7	-3	0	0	65	67	225	210	9	974.33	61	51	28	-1061	1634988057.55397
9	-1	-7	-5	0	0	65	67	223	210	9	974.36	61	46	16	-1070	1634988057.6477
7	-1	-7	-6	0	0	65	67	220	210	9	974.4	61	62	0	-1061	1634988057.74306
1	0	-7	-7	0	0	64	68	216	210	9	974.4	61	83	-1	-1035	1634988057.85912
0	0	-7	-6	0	0	64	68	218	210	9	974.37	61	60	-7	-1064	1634988057.95593
-1	1	-7	-5	0	-1	64	68	222	200	9	974.39	61	91	10	-1072	1634988058.05775
0	0	-7	-4	0	-1	64	68	226	210	9	974.28	61	62	-1	-997	1634988058.1533
1	0	-6	-3	0	-1	64	68	231	210	9	974.4	61	59	-36	-907	1634988058.26444
1	1	-6	-3	0	0	64	68	233	210	9	974.4	62	66	-29	-901	1634988058.36656
1	1	-6	-3	0	0	64	68	233	210	9	974.49	62	47	-20	-896	1634988058.46028
1	2	-6	-3	0	0	64	68	231	210	9	974.41	62	51	-3	-843	1634988058.559
2	2	-7	-3	0	2	64	68	231	210	9	974.36	62	46	10	-832	1634988058.66236
7	1	-6	-3	0	3	64	68	234	210	9	974.3	62	61	-22	-858	1634988058.77352
8	0	-7	-4	0	4	65	67	234	200	9	974.3	62	71	-22	-847	1634988058.86994
5	0	-7	-5	0	5	65	67	225	200	9	974.33	62	59	-8	-882	1634988058.96949
2	1	-7	-5	0	7	65	67	220	190	9	974.29	62	40	-34	-888	1634988059.07015
1	1	-7	-5	0	8	65	67	212	180	9	974.29	62	47	-19	-925	1634988059.17036
0	1	-7	-4	0	8	65	67	208	180	9	974.24	62	64	-53	-931	1634988059.28367
0	2	-7	-3	0	9	65	67	200	170	9	974.15	63	51	-26	-951	1634988059.38101
1	2	-7	-3	0	9	65	67	193	160	9	974.19	63	38	-39	-964	1634988059.49111
1	2	-7	-3	0	9	65	67	189	150	8	974.1	63	64	-41	-931	1634988059.58687
1	1	-7	-2	0	10	65	67	183	140	8	974.07	63	2	-16	-1000	1634988059.69533
1	2	-8	-2	0	9	65	67	174	140	8	973.9	63	66	-38	-1015	1634988059.79744
0	3	-8	-2	0	9	65	69	163	130	8	973.85	63	55	-60	-1049	1634988059.8842
